time	V(n005)
Step Information: L=25m Duty=3m  (Run: 21/44)
1.520408803184773e-02	3.354228e-01
1.541893178184773e-02	3.974597e-01
1.567283803184772e-02	4.623590e-01
1.594627553184771e-02	5.232832e-01
1.627830678184771e-02	5.864887e-01
1.664940053184770e-02	6.453195e-01
1.709861928184769e-02	7.028679e-01
1.762596303184768e-02	7.552872e-01
1.800000000000000e-02	7.846391e-01
1.800100000000000e-02	7.847232e-01
1.800108439851995e-02	7.824516e-01
1.800125319555984e-02	7.793556e-01
1.800137666010469e-02	7.782416e-01
1.800146829411988e-02	7.779048e-01
1.800153201419423e-02	7.776563e-01
1.800157411600354e-02	7.770945e-01
1.800160203526287e-02	7.761028e-01
1.800162731354697e-02	7.748091e-01
1.800165514355756e-02	7.733124e-01
1.800168405893415e-02	7.715969e-01
1.800173052659101e-02	7.672539e-01
1.800176609094715e-02	7.597123e-01
1.800179069220657e-02	6.521669e-01
1.800182203578034e-02	2.808365e-01
1.800182240343812e-02	2.679875e-01
1.800182313875366e-02	2.333497e-01
1.800182460938474e-02	1.822171e-01
1.800182651018391e-02	1.337690e-01
1.800183031178226e-02	7.351802e-02
1.800183791497896e-02	2.109003e-02
1.800185148080697e-02	-2.404811e-03
1.800187041157825e-02	-5.632062e-03
1.800190167413101e-02	-4.858265e-03
1.800193747489449e-02	-4.149472e-03
1.800200000000000e-02	-3.405089e-03
1.800200625251055e-02	-3.132910e-03
1.800201875753165e-02	-2.651860e-03
1.800204376757386e-02	-1.888447e-03
1.800207562251544e-02	-1.198964e-03
1.800210751965696e-02	-7.530386e-04
1.800214231473667e-02	-4.516000e-04
1.800217401339867e-02	-2.819579e-04
1.800220718215796e-02	-1.731795e-04
1.800223893597644e-02	-1.084251e-04
1.800227207249476e-02	-6.665089e-05
1.800230423029672e-02	-4.147778e-05
1.800233709928251e-02	-2.557900e-05
1.800236945039899e-02	-1.588143e-05
1.800240202647203e-02	-9.834962e-06
1.800243472533565e-02	-6.079690e-06
1.800246686764419e-02	-3.787242e-06
1.800250020466981e-02	-2.320918e-06
1.800253149123204e-02	-1.463833e-06
1.800256102831790e-02	-9.586903e-07
1.800259277139685e-02	-6.083213e-07
1.800262028443049e-02	-4.135221e-07
1.800265108320599e-02	-2.586332e-07
1.800268243396119e-02	-1.655999e-07
1.800271147301275e-02	-1.051656e-07
1.800274404398921e-02	-7.504621e-08
1.800277569552090e-02	-3.794231e-08
1.800281692049013e-02	-3.171148e-08
1.800285556909687e-02	-9.115100e-09
1.800291492538782e-02	-1.597092e-08
1.800297203621180e-02	-3.276545e-09
1.800306443716622e-02	-1.378979e-08
1.800317057180461e-02	-5.453742e-09
1.800335173411644e-02	-1.347666e-08
1.800361991286134e-02	-8.444577e-09
1.800412937515783e-02	-1.228907e-08
1.800514829975081e-02	-1.023922e-08
1.827009103754017e-02	-1.088245e-08
1.854352853754017e-02	-1.086980e-08
1.881696603754016e-02	-1.088509e-08
1.899274728754016e-02	-1.076320e-08
1.900000000000000e-02	-1.067735e-08
